AreaCode	City	State	Country	Latitude	Longitude											
201	Bayonne	New Jersey	US	40.66871	-74.11431											
202	Washington	District of Columbia	US	38.89511	-77.03637											
203	Bridgeport	Connecticut	US	41.16704	-73.20483											
205	Alabaster	Alabama	US	33.24428	-86.81638											
206	Bainbridge Island	Washington	US	47.62621	-122.52124											
207	Auburn	Maine	US	44.09785	-70.23117											
208	Boise	Idaho	US	43.6135	-116.20345											
209	Atwater	California	US	37.34772	-120.60908											
210	San Antonio	Texas	US	29.42412	-98.49363											
212	New York City	New York	US	40.71427	-74.00597											
213	Los Angeles	California	US	34.05223	-118.24368											
214	Allen	Texas	US	33.10317	-96.67055											
215	Levittown	Pennsylvania	US	40.15511	-74.82877											
216	Brook Park	Ohio	US	41.39838	-81.80458											
217	Champaign	Illinois	US	40.11642	-88.24338											
218	Andover	Minnesota	US	45.2333	-93.29134											
219	East Chicago	Indiana	US	41.6392	-87.45476											
220	Athens	Ohio	US	39.32924	-82.10126											
224	Algonquin	Illinois	US	42.16558	-88.29425											
225	Baton Rouge	Louisiana	US	30.45075	-91.15455											
228	Biloxi	Mississippi	US	30.39603	-88.88531											
229	Albany	Georgia	US	31.57851	-84.15574											
231	Muskegon	Michigan	US	43.23418	-86.24839											
234	Akron	Ohio	US	41.08144	-81.51901											
239	Bonita Springs	Florida	US	26.33981	-81.7787											
240	Aspen Hill	Maryland	US	39.07955	-77.07303											
248	West Bloomfield Township	Michigan	US	42.56891	-83.38356											
251	Mobile	Alabama	US	30.69436	-88.04305											
252	Greenville	North Carolina	US	35.61266	-77.36635											
253	Auburn	Washington	US	47.30732	-122.22845											
254	Copperas Cove	Texas	US	31.12406	-97.90308											
256	Anniston	Alabama	US	33.65983	-85.83163											
260	Fort Wayne	Indiana	US	41.1306	-85.12886											
262	Brookfield	Wisconsin	US	43.06057	-88.10648											
267	Levittown	Pennsylvania	US	40.15511	-74.82877											
269	Battle Creek	Michigan	US	42.3173	-85.17816											
270	Bowling Green	Kentucky	US	36.99032	-86.4436											
272	Back Mountain	Pennsylvania	US	41.33591	-75.99631											
276	Richmond	Virginia	US	37.55376	-77.46026											
281	Alvin	Texas	US	29.42385	-95.2441											
301	Aspen Hill	Maryland	US	39.07955	-77.07303											
302	Dover	Delaware	US	39.15817	-75.52437											
303	Arvada	Colorado	US	39.80276	-105.08748											
304	South Charleston	West Virginia	US	38.36843	-81.69957											
